,text,label
0,Is that your bike ?,A1
1,She had a beautiful necklace around her neck .,A1
2,I forgot to bring my umbrella .,A1
3,The baby kept crying .,A1
4,Do you know what you 're doing this weekend ?,A1
5,No one had money .,A1
6,Ben must like his new car a lot .,A2
7,Harrison got very excited when his parents gave him a car .,A2
8,I like dogs more than cats .,A2
9,"Now I am being called by Softbank , too !",A2
10,Larry has a shark 's tooth .,A2
11,He 's already gone to bed .,A2
12,He 's very good at taking care of children .,A2
13,Sushi is raw fish .,A2
14,Children love to play outdoors .,A2
15,I want to eat something sweet .,A2
16,I will do it as soon as I return .,A2
17,Can you draw the British flag ?,A2
18,She 's so quiet that we forget she 's here .,A2
19,Where are my khaki shorts ?,A2
20,These are the friends whose names you know .,A2
21,David sent his friend a wedding gift .,A2
22,I wish I had some cool water to drink .,A2
23,Do n't wear khakis to the business meeting .,A2
24,Mother was too shy to wear a bikini .,A2
25,Shall I teach you to dance ?,A2
26,This huge store only has three cashiers !,A2
27,These were the men who ran the red light .,A2
28,His wife is Vietnamese .,A2
29,They were cycling in the mountains .,A2
30,They 've just asked her to stay another year .,A2
31,I have lunch after third period .,A2
32,This iPad is as fast as a desktop computer .,A2
33,It was past twelve when we arrived home .,A2
34,I find it easy to sleep .,A2
35,He planned to kill the president .,A2
36,I wish I could have stayed there forever on that beach .,A2
37,I could n't do it even if I tried .,A2
38,Keep your knees up when you jump .,A2
39,You may drive my car .,A2
40,Driving is something I enjoy doing .,A2
41,"Do your work , or you wo n't get paid .",A2
42,I wish it could be different .,A2
43,It 's hard to tell if these are my socks or his .,A2
44,I always wanted to be an athlete .,A2
45,She 's changed her major from math to chemistry .,A2
46,Were there any dresses you wanted to buy ?,A2
47,Carley went shopping for a dress today .,A2
48,He has a talking dog .,A2
49,What 's the date today ?,A2
50,I thought I had to talk to him .,A2
51,I thought I saw him .,A2
52,There is very little traffic on Sundays here .,A2
53,He ran to the bus stop .,A2
54,Sugar was bad for Henry .,A2
55,We always see red fruit in the autumn .,A2
56,You can find the contractor in his office .,A2
57,I 'm looking for a carpenter .,A2
58,Let 's go for a bike ride .,A2
59,The divers were protected by a metal cage .,A2
60,He has done more than anyone else .,A2
61,I was called twice about it .,A2
62,Those musicians ' guitars were stolen .,A2
63,We should ask Amanda how to start a volunteer project .,A2
64,We went to look for food .,A2
65,Do you know what to say if you are stopped by the police ?,A2
66,Megan started playing soccer during the summer break .,A2
67,I do n't often wear ball gowns .,A2
68,John did n't know why Amanda was so angry at him .,A2
69,John knew they were bad people .,A2
70,The driver did n't know where to turn .,A2
71,I ca n't read all of these books .,A2
72,It is easy to understand people who speak clearly .,A2
73,You are as beautiful as ever to me .,A2
74,She was as helpless as a baby .,A2
75,It is difficult to talk to her peacefully .,A2
76,We watch the Olympics on TV .,A2
77,That clock is five minutes fast .,A2
78,I slept while he was gone .,A2
79,He was as old as my father .,A2
80,Many Russians died in WWII .,A2
81,"Could you get my waiter , please ?",A2
82,"Fortunately , salad was Gina 's favorite food .",A2
83,There is a photographer 's studio over there .,A2
84,I buy my bread from a local baker .,A2
85,They must be exhausted after their three month journey in Africa .,A2
86,She is jealous of your dog .,A2
87,I think that one is his .,A2
88,Do n't go swimming over there .,A2
89,"If you wanted to talk to someone , who would you call ?",A2
90,You must feel very sick .,A2
91,My mother calls every weekend .,A2
92,Is there any of the vegetable spaghetti left from last night 's dinner ?,A2
93,Spotlight is a movie about some Boston reporters .,A2
94,I made dinner while you were napping .,A2
95,I will come with you to make sure you are okay .,A2
96,The temperature dropped as low as minus 20 .,A2
97,I did n't tell her to go .,A2
98,We have to change planes in New York .,A2
99,They were all required to wear suits .,A2
100,We rushed to the place where we last saw her .,A2
101,She is usually understanding .,A2
102,It was the teacher who wrote that .,A2
103,I wish I could be more like you .,A2
104,I met someone who is also from Vancouver .,A2
105,I hate Monday morning .,A2
106,She keeps the key in a flower pot by the door .,A2
107,They stood watching us from the window .,A2
108,The doctor asked if he had come to yet .,A2
109,When was the last time you saw yours ?,A2
110,Her son became a dentist .,A2
111,She 's inviting all her friends to the picnic .,A2
112,It is close to the station but far from home .,A2
113,He needs to make it clear .,A2
114,He said he had to come .,A2
115,I wish I knew who broke in to our house .,A2
116,"I wish I could tell you who was responsible , but we may never know .",A2
117,He walked around the garden .,A2
118,She does n't want this one .,A2
119,I do n't know where I 'm going .,A2
120,I did n't know where you went .,A2
121,We saw a brown mouse run across the road .,A2
122,You have nothing left .,A2
123,Many things were broken .,A2
124,Did you brush your teeth ?,A2
125,Have you changed your hairstyle ?,A2
126,I have n't changed anything .,A2
127,I am very content with life and every day is filled with laughter .,A2
128,I 've never seen a movie about frogs .,A2
129,Are you on the field hockey team ?,A2
130,Can anyone lend me a pencil ?,A2
131,He failed the test to become a firefighter .,A2
132,Not all people like to have their pictures taken .,A2
133,The dog learned to sit .,A2
134,We can watch the planes from here .,A2
135,Everyone looked for the missing boys .,A2
136,Who is the Israeli prime minister now ?,A2
137,We hired a new gardener .,A2
138,He fell on his knees .,A1
139,I said this movie must be good .,A2
140,"We were very close to going to France , but the flight was canceled .",A2
